replay_case_id,symbol,as_of_date,size_group,mcap_b,sector,data_quality,st_status,market_cap_quality,market_cap,ma20,atr_pct,macd,vol_ratio,price_pos,turnover_1d,avg_turnover_20d,filter_market_cap,filter_st,filter_turnover_1d,filter_turnover_20d,filter_price_pos,filter_vol_ratio,filter_atr,final_candidate,exclusion_reason,pit_confidence,mode,replay_confidence,case_hash
600608_2008-10-15,600608,2008-10-15,SMALL,0.56,贸易Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,2.7032415968654435,4.502166393632118,4.688698830070201,1.9413579449893728,81.56563597522592,248476968.75,66251975.29296875,UNKNOWN,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,e3254e87
600193_2005-06-15,600193,2005-06-15,SMALL,0.68,装修装饰Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,0.8420358848932337,2.7414875566764385,0.3869533802730116,0.9363465688786733,23.56630746115868,1170036.0107421875,3108228.692626953,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,FAIL,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW; ATR_BELOW,LOW,RESEARCH,BLOCKED,02cd7962
600193_2007-10-15,600193,2007-10-15,SMALL,0.68,装修装饰Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,0.585247429647608,3.4509405218630036,-1.7609919302627002,0.8075273517453666,46.67746482488677,5914196.77734375,2929718.1640625,UNKNOWN,UNKNOWN,FAIL,FAIL,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,9275c6a4
600193_2008-10-15,600193,2008-10-15,SMALL,0.68,装修装饰Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,3.1936970919877687,4.612135213617301,-0.28154646462969435,0.8280909488845396,88.80443674611017,177717562.5,91678716.40625,UNKNOWN,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,45c569ce
600599_2005-06-15,600599,2005-06-15,SMALL,0.71,金融控股,PARTIAL,UNKNOWN,UNKNOWN,0,0.7108356954358148,5.657938472925364,1.2821040297405866,0.4007265206895825,19.983380835985404,1007622.9858398438,5227649.502563477,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,19596bcb
600599_2007-10-15,600599,2007-10-15,SMALL,0.71,金融控股,PARTIAL,UNKNOWN,UNKNOWN,0,0.2682657494189891,6.894634741722366,4.746370883869443,1.7561458566656827,20.36753108617807,5505565.91796875,4721783.685302734,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,941b5928
600599_2008-10-15,600599,2008-10-15,SMALL,0.71,金融控股,PARTIAL,UNKNOWN,UNKNOWN,0,0.909636117887835,5.085092542903456,0.07039661270659764,0.4988832954891123,82.45454574812543,8974305.6640625,17925465.52734375,UNKNOWN,UNKNOWN,FAIL,FAIL,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,0c9b3a47
600200_2005-06-15,600200,2005-06-15,SMALL,2.06,医药商业,PARTIAL,UNKNOWN,UNKNOWN,0,2.2888281059055773,2.62575773318622,-1.143735362647698,1.183502537726538,19.227415821010315,9977461.9140625,5951568.811035156,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,FAIL,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW; ATR_BELOW,LOW,RESEARCH,BLOCKED,17f2beb7
600200_2007-10-15,600200,2007-10-15,SMALL,2.06,医药商业,PARTIAL,UNKNOWN,UNKNOWN,0,2.5269237128884816,2.478670876138299,-0.5997658114606926,1.1800999018176617,37.619049747406365,17341673.828125,12772500.476074219,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,FAIL,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW; ATR_BELOW,LOW,RESEARCH,BLOCKED,0f701c79
600200_2008-10-15,600200,2008-10-15,SMALL,2.06,医药商业,PARTIAL,UNKNOWN,UNKNOWN,0,3.572716171314897,5.996561350847742,1.3634799450460258,0.7242841656236083,59.314745184706496,82935554.6875,195548036.328125,UNKNOWN,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,04cfb8b7
600696_2005-06-15,600696,2005-06-15,SMALL,2.48,白酒Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,1.3281458123139873,3.289511669250183,-0.2660467573027291,0.7876729606295678,28.37838853431045,6226117.1875,13453699.90234375,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,5cb6d2a0
600696_2007-10-15,600696,2007-10-15,SMALL,2.48,白酒Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,0.9240129450344305,3.137070857834904,0.11639777777094644,0.498780644120849,80.21806572001941,7071402.83203125,16911814.208984375,UNKNOWN,UNKNOWN,FAIL,FAIL,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,5ad45fdc
600696_2008-10-15,600696,2008-10-15,SMALL,2.48,白酒Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,2.2405091911160477,5.488688939180731,-3.1506480563952373,1.2239465970713241,73.63776239722193,100614835.9375,40520670.8984375,UNKNOWN,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,c457f862
301139_2022-12-15,301139,2022-12-15,SMALL,4.55,通信工程及服务,PARTIAL,UNKNOWN,UNKNOWN,0,27.964499999999997,2.122679580306697,-0.7095088700012057,0.4971296514936264,,8899116.0,36899122.55,UNKNOWN,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,FAIL,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_UNKNOWN; VOL_RATIO_BELOW; ATR_BELOW,LOW,RESEARCH,BLOCKED,8cdd5b32
301139_2024-06-15,301139,2024-06-15,SMALL,4.55,通信工程及服务,PARTIAL,UNKNOWN,UNKNOWN,0,21.912,4.100099436526351,-3.3715963904040103,0.8452395148734194,,49593300.0,66764980.0,UNKNOWN,UNKNOWN,FAIL,PASS,UNKNOWN,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; PRICE_POS_UNKNOWN; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,2d5d4103
600636_2005-06-15,600636,2005-06-15,MID,7.5,教育运营及其他,PARTIAL,UNKNOWN,UNKNOWN,0,1.3501627129071088,2.3453946075941356,-0.5301869540786972,0.6903979963216851,5.875943538405324,1221389.0380859375,1658433.9714050293,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,FAIL,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW; ATR_BELOW,LOW,RESEARCH,BLOCKED,c0f5298e
600636_2007-10-15,600636,2007-10-15,MID,7.5,教育运营及其他,PARTIAL,UNKNOWN,UNKNOWN,0,1.8677564165459977,4.190007067150446,3.641935578395747,1.2940232086987018,88.40976644885367,31994384.765625,26941292.724609375,UNKNOWN,UNKNOWN,FAIL,FAIL,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,4fe6c85d
600636_2008-10-15,600636,2008-10-15,MID,7.5,教育运营及其他,PARTIAL,UNKNOWN,UNKNOWN,0,3.205102245645574,6.151345605561087,3.472799636263556,1.695835301030499,77.3633391938054,159344828.125,85978460.546875,UNKNOWN,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,167b7d9f
300417_2015-06-15,300417,2015-06-15,MID,13.23,仪器仪表,PARTIAL,UNKNOWN,UNKNOWN,0,30.806299648192265,9.757026305095287,-38.27780718231406,0.5953635600660092,,166092593.75,166450100.78125,UNKNOWN,UNKNOWN,PASS,PASS,UNKNOWN,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; PRICE_POS_UNKNOWN; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,1d0bfe44
300417_2018-10-15,300417,2018-10-15,MID,13.23,仪器仪表,PARTIAL,UNKNOWN,UNKNOWN,0,8.293387938049802,3.756423291143295,-3.7934063901753663,2.0388838043140103,0.08968550182916307,6023476.07421875,4343898.046875,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,f381ef41
300417_2020-06-15,300417,2020-06-15,MID,13.23,仪器仪表,PARTIAL,UNKNOWN,UNKNOWN,0,17.582256249900887,3.69957658259943,-1.7731161531841473,0.8944737683568035,41.33081306763098,50915527.34375,45319099.0234375,UNKNOWN,UNKNOWN,FAIL,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,d61cb396
600455_2007-10-15,600455,2007-10-15,MID,13.36,垂直应用软件,PARTIAL,UNKNOWN,UNKNOWN,0,0.5687099402015273,4.537319992521957,-10.866005909432229,2.9936883670212855,,14536828.125,4547118.884277344,UNKNOWN,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_UNKNOWN,LOW,RESEARCH,BLOCKED,0b94fed7
600455_2008-10-15,600455,2008-10-15,MID,13.36,垂直应用软件,PARTIAL,UNKNOWN,UNKNOWN,0,0.35863988151824155,6.757851857555932,2.359860296767219,1.7469302798852229,,5628108.88671875,7822118.798828125,UNKNOWN,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_UNKNOWN; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,32e30710
600455_2012-06-15,600455,2012-06-15,MID,13.36,垂直应用软件,PARTIAL,UNKNOWN,UNKNOWN,0,0.7479343786030203,4.2545710315670835,3.8014268119176,1.668800706953893,83.24099547885807,24985255.859375,21797394.287109375,UNKNOWN,UNKNOWN,FAIL,FAIL,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,42f73a9e
300621_2018-10-15,300621,2018-10-15,MID,13.67,装修装饰Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,9.819127558191482,3.9983020723580807,-4.221584544682865,1.3336815022990216,,17788253.90625,7043103.369140625,UNKNOWN,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_UNKNOWN; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,1c4757dd
300621_2020-06-15,300621,2020-06-15,MID,13.67,装修装饰Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,10.990948382489076,3.990501113018066,1.4677373371165365,1.1372593434186762,45.537765899245,53559406.25,36159492.67578125,UNKNOWN,UNKNOWN,FAIL,FAIL,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,8e83b33c
300621_2021-10-15,300621,2021-10-15,MID,13.67,装修装饰Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,9.81111472039054,5.247935345501555,-3.168386443511115,0.27794292583114805,25.50831596322858,16847376.953125,73668191.69921875,UNKNOWN,UNKNOWN,FAIL,PASS,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,63f403b0
301167_2022-12-15,301167,2022-12-15,MID,14.03,工程咨询服务Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,17.68610106141437,3.5806979051298695,-2.008612443690474,0.525707760094259,,14139872.0703125,51991792.333984375,UNKNOWN,UNKNOWN,FAIL,PASS,UNKNOWN,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; PRICE_POS_UNKNOWN; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,7cc54e6d
301167_2024-06-15,301167,2024-06-15,MID,14.03,工程咨询服务Ⅲ,PARTIAL,UNKNOWN,UNKNOWN,0,12.285,5.428077966938073,-2.6005096073487035,0.30735129009075224,21.57562795415282,13668699.999999998,68407210.0,UNKNOWN,UNKNOWN,FAIL,PASS,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,4386075f
300535_2018-10-15,300535,2018-10-15,MID,14.04,其他化学制品,PARTIAL,UNKNOWN,UNKNOWN,0,12.745806286829051,4.568876882284615,-2.963817529050165,1.7493611271782488,,7291756.8359375,7429747.265625,UNKNOWN,UNKNOWN,FAIL,FAIL,UNKNOWN,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_UNKNOWN; VOL_RATIO_BELOW,LOW,RESEARCH,BLOCKED,7d71b6b0
300535_2020-06-15,300535,2020-06-15,MID,14.04,其他化学制品,PARTIAL,UNKNOWN,UNKNOWN,0,11.46634271351475,1.521209348622239,-0.3965952078253434,0.8724979919489946,6.3754394522736995,10403421.875,10783396.166992188,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,FAIL,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW; ATR_BELOW,LOW,RESEARCH,BLOCKED,21090290
