replay_case_id,symbol,as_of_date,market_cap_quality,market_cap,ma20,atr_pct,vol_ratio,price_pos,filter_market_cap,filter_st,filter_turnover_1d,filter_turnover_20d,filter_price_pos,filter_vol_ratio,filter_atr,final_candidate,exclusion_reason,pit_confidence
000538_2008-06-15,000538,2008-06-15,PIT_SAFE,1712102739.142562,9.421239006225058,4.268024785412612,1.4285165045366206,88.22394914947658,PASS,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000538_2015-06-15,000538,2015-06-15,PIT_SAFE,19758111562.90523,26.723635168959323,2.6391277502026926,2.1071381837279666,28.057054091628626,FAIL,UNKNOWN,PASS,PASS,PASS,FAIL,FAIL,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; VOL_RATIO_BELOW; ATR_BELOW,LOW
000538_2022-12-15,000538,2022-12-15,PIT_SAFE,61491401367.55479,47.645412727908734,2.037886687566381,0.8270491146604803,31.839140863639976,FAIL,UNKNOWN,PASS,PASS,PASS,FAIL,FAIL,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; VOL_RATIO_BELOW; ATR_BELOW,LOW
601888_2015-06-15,601888,2015-06-15,PIT_SAFE,29783796116.18368,24.93716006937625,5.105878763856862,3.970407458550131,91.18166261415273,FAIL,UNKNOWN,PASS,PASS,FAIL,PASS,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE,LOW
601888_2022-12-15,601888,2022-12-15,PIT_SAFE,198164038050.61545,184.89306861239692,3.9749495258194267,0.8809641922855642,84.84757852661828,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000725_2008-06-15,000725,2008-06-15,PIT_SAFE,19446902696.497047,6.938998036226079,7.868492199193191,1.8590227085738409,51.31406090572537,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000725_2015-06-15,000725,2015-06-15,PIT_SAFE,154204884672.9382,3.995274944537593,5.647667984430317,1.0796241210982715,95.74607308625671,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000725_2022-12-15,000725,2022-12-15,PIT_SAFE,125909453940.12775,3.339021338531299,1.6957049503676394,0.5995407181772681,18.1192600221354,FAIL,UNKNOWN,PASS,PASS,PASS,FAIL,FAIL,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; VOL_RATIO_BELOW; ATR_BELOW,LOW
002352_2015-06-15,002352,2015-06-15,PIT_SAFE,736348513.0826348,8.16592035494559,3.431812268861322,0.8755762040761647,100.0,PASS,UNKNOWN,FAIL,PASS,FAIL,FAIL,PASS,UNKNOWN,ST_UNKNOWN; TURNOVER_1D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
002352_2022-12-15,002352,2022-12-15,PIT_SAFE,256439205397.81235,48.797856371949436,3.3776451674445993,1.1551207242996417,55.68897925790981,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
